mz	rt	intensity
271.97106	4.8	1414
271.97126	7.8	1828
272.07551	1.5	2194
272.18530	10.2	2327
272.18531	9.1	38096
273.18869	9.1	6049
273.20536	20.3	4222
274.11810	5.4	2799
274.14189	12.4	3140
274.16378	4.5	2917
274.16437	3.8	1680
274.17868	16.6	4709
274.18155	16.6	2798
274.20082	10.9	3229
274.20134	10.8	4691
274.20221	10.5	1819
274.87140	1.1	2496
275.25583	21.5	3560
276.14436	3.0	74431
276.17999	6.0	1413
276.18023	5.4	5582
277.09492	1.8	1077
277.10440	6.0	1541
277.14721	3.0	8272
277.26185	23.0	3686
278.06300	2.8	1556
278.14917	3.0	1204
278.17391	12.8	2896
279.09237	16.1	6354
279.13331	8.3	10368
279.15761	19.7	3579
279.15774	23.9	11943
279.15782	19.8	4096
279.15807	19.6	12328
279.15828	19.5	39794
279.19062	1.3	3187
279.27925	17.1	10691
280.13575	8.3	1775
280.15973	19.6	2755
280.16138	19.5	7665
280.92769	5.6	1825
281.00812	5.7	1980
281.08889	7.8	3714
281.08904	7.4	3512
281.11265	5.1	2358
281.11337	4.4	2464
281.14925	11.5	10488
281.20689	21.0	7243
282.12013	2.3	42532
282.14491	6.6	2015
282.15174	11.5	3513
282.19250	2.4	5253
282.20348	16.1	3479
282.27791	22.2	20508
282.90723	2.9	6621
282.90765	4.1	1631
283.03273	1.8	6453
283.04790	10.1	5631
283.05076	4.2	3755
283.10384	4.1	3646
283.10535	8.9	3107
283.12349	2.3	5125
283.12917	9.3	4479
283.13948	3.0	1858
283.26168	22.8	4282
283.28117	22.2	4393
284.09356	7.4	1357
284.18521	9.6	3432
284.29402	23.0	7344
284.29431	19.2	2404
284.92284	3.9	3713
285.04774	1.8	2010
285.09798	5.9	1763
285.22807	1.8	1940
285.24085	21.2	3092
286.09159	1.6	2174
286.12897	3.3	13504
286.20109	11.5	55054
286.20130	11.7	7542
286.20160	11.4	124362
286.92117	4.0	1064
286.92365	1.1	1215
287.05232	10.0	8214
287.05273	9.6	2514
287.09956	7.1	11277
287.09966	7.0	11613
287.09994	7.1	7203
287.13179	3.3	3614
287.17120	1.9	3050
287.19494	1.4	14605
287.20417	11.5	10215
287.20433	11.4	24817
287.24426	1.5	1154
288.11920	1.2	1912
288.12274	4.0	4049
288.14214	3.6	1306
288.18001	6.2	3331
288.20749	11.4	3860
288.21595	13.3	2642
288.21623	12.3	14571
288.21689	12.8	1966
289.03726	6.3	2958
289.11593	10.1	2751
289.21938	12.3	3019
289.92772	5.3	6323
290.04195	8.0	2377
290.14542	1.3	1681
290.15900	4.5	5566
290.15954	4.3	1999
290.15967	5.4	51024
290.15974	4.1	23749
290.15984	4.4	14640
290.20563	3.2	1611
291.08345	5.9	2288
291.12918	1.3	2267
291.16271	4.1	3877
291.16297	5.4	6796
291.16307	4.5	2722
292.10438	1.3	1552
292.15692	7.9	8643
292.15754	7.7	12462
292.22425	17.2	3545
292.96012	5.1	2503
293.03057	3.2	1477
293.05281	4.6	1754
293.08850	5.4	4316
293.08864	5.9	3131
293.13860	11.5	1530
293.15924	7.6	1795
294.28762	21.8	2886
294.28810	21.7	5003
294.28843	21.6	7181
294.28883	21.5	62741
295.08485	4.3	2164
295.10479	9.8	5252
295.29202	21.5	12322
295.97529	3.5	2970
296.06434	3.1	2713
296.14822	5.4	14816
296.14840	9.1	2899
296.14900	5.7	13426
296.14920	8.0	2143
297.14399	9.2	4626
297.15121	5.4	1921
297.15219	5.7	2480
297.17923	21.0	3290
297.27688	25.6	2613
297.27710	21.9	3473
298.11384	4.1	4190
298.17729	16.1	6717
299.22059	19.5	4804
299.27179	23.5	2874
299.99415	2.3	2535
300.10758	2.6	4335
300.11888	3.5	1963
300.17981	7.3	3106
300.21510	13.3	1967
300.21534	13.8	2731
300.21577	13.0	2491
300.21610	13.4	3912
300.21627	12.9	97792
300.21633	12.9	6493
300.22792	1.8	2746
300.86154	1.2	1294
300.91750	2.3	1716
301.05801	7.8	3905
301.13919	19.7	2808
301.13999	19.5	17795
301.14045	19.6	7995
301.20991	22.9	4213
301.21939	12.9	20695
302.08664	2.1	1904
302.12291	8.4	15434
302.14286	19.5	2631
302.15958	4.7	10213
302.19518	9.8	3645
302.19532	8.4	5923
302.19572	9.7	2618
302.19591	5.3	1662
302.22188	12.8	2734
302.23194	14.3	32663
302.23221	14.1	280302
302.23240	14.2	13822
303.07117	3.9	8199
303.07399	7.2	5621
303.07432	7.0	194786
303.09974	7.3	1677
303.12562	8.4	2452
303.16274	4.7	1528
303.23540	14.1	55148
303.23546	14.3	6778
303.25190	21.2	2584
304.05526	8.4	1978
304.07723	7.0	36625
304.12881	7.6	17795
304.17461	5.5	8782
304.17463	5.6	2156
304.17476	5.7	4173
304.21146	10.7	4864
304.21167	10.1	19067
304.22576	12.8	3076
304.23670	14.1	9250
304.23729	14.1	6053
304.25973	22.2	6132
304.29877	18.4	3531
304.29887	18.3	4849
305.07270	7.0	21931
305.08636	4.8	23632
305.08976	10.1	14573
305.13189	7.6	3697
305.17838	5.5	1681
305.21492	10.2	3484
306.06394	6.3	5464
306.08949	4.8	6794
306.16911	11.7	2622
307.06847	3.4	1876
307.06888	3.6	1541
307.07613	8.4	1210
307.08044	1.8	3278
307.12202	3.5	3072
307.16638	7.4	1090
307.20082	15.2	17988
308.18410	12.4	10624
308.18552	11.7	3904
308.20365	15.2	4566
309.03560	5.5	1970
309.04764	3.6	3457
309.11979	11.8	4719
309.12040	11.9	5884
309.18795	12.4	3018
309.20452	20.2	3433
309.20458	18.5	5174
310.07404	4.7	1806
310.09271	4.4	1523
310.11281	1.3	3000
310.14154	9.1	2295
310.19979	12.1	2523
310.20005	11.9	6280
310.20020	12.4	36082
310.20024	12.9	9293
310.20047	12.5	36447
310.20057	12.8	7550
310.20082	12.3	32417
310.20098	12.7	9565
310.20159	13.1	84307
310.30896	23.3	9007
311.06938	6.6	1858
311.14810	12.6	6015
311.14818	12.8	3804
311.16191	20.3	3649
311.20347	12.4	5268
311.20364	12.5	8961
311.20413	13.1	14598
311.20415	12.3	7010
311.25739	21.6	3331
312.13017	5.2	32649
312.21562	14.4	8211
312.21584	13.1	12788
312.21632	12.6	91698
312.21653	14.2	2569
312.21668	12.6	6928
312.28791	24.2	4295
312.92032	1.1	2480
313.06095	8.2	2646
313.13288	5.2	5348
313.21210	21.5	3245
313.21888	13.0	2512
313.21930	12.6	18711
313.27093	22.0	4545
313.27170	22.0	8054
313.27187	22.4	3988
313.27204	22.2	12075
313.27219	22.1	2862
313.27276	22.3	3086
314.10011	3.0	1900
314.22131	12.6	3073
314.22877	14.4	2258
314.23098	14.0	2987
314.23168	14.7	51523
314.23171	14.3	33144
314.23186	14.9	35600
314.23199	15.0	39508
314.23221	13.7	5849
314.23470	14.4	3586
314.27484	22.2	5087
314.30411	25.5	4517
315.17933	16.5	8974
315.23429	14.3	6599
315.23476	14.7	9992
315.23514	15.0	8998
315.23516	14.9	7580
315.25137	21.7	8452
316.17490	6.2	2372
316.17491	6.7	3902
316.17530	6.1	3180
316.18248	16.5	1854
316.21061	8.0	1696
316.21219	9.0	4978
316.24663	15.3	6799
316.24700	15.5	5546
316.24735	15.7	8073
316.82572	1.1	1456
316.86859	1.1	1291
317.08588	5.7	3897
317.11248	19.9	4024
317.11313	19.7	6218
317.11314	19.9	5182
317.11370	19.6	19892
317.11387	20.0	4025
317.11409	19.5	50241
317.18365	23.0	3423
317.26582	21.7	3221
318.11694	19.6	3957
318.11708	19.5	11454
318.19016	4.8	2553
318.19077	7.4	13172
318.19248	7.2	1791
319.06495	4.0	1281
319.06849	5.0	1861
319.06857	4.4	2937
319.10486	11.5	8367
319.11338	19.5	4591
319.16497	8.3	2373
319.16537	8.3	42193
319.19435	7.4	2549
319.28051	21.5	3846
320.16805	8.3	6287
320.23300	22.2	4571
321.00371	10.1	2416
321.05982	4.1	20858
321.08104	2.5	2251
321.08142	3.0	7393
321.08166	2.7	2060
321.08504	9.3	4564
321.20420	12.8	2935
322.01699	5.0	1158
322.06223	4.1	3759
322.07730	2.4	4038
322.08398	3.0	1189
322.83249	1.1	1332
323.05188	8.4	12564
323.09837	5.2	1563
324.05474	8.4	2599
324.05897	4.6	5926
324.15607	11.4	6443
324.15728	11.5	3300
