mz	rt	intensity
450.234455	9.99	126.85
474.231557	9.99	552
498.21833	9.99	160
542.770611	9.99	107
542.79036	9.99	76.12
551.770585	9.99	134
552.261871	9.99	187
564.299528	9.99	80
574.281891	9.99	134
574.780406	9.99	549
584.283351	9.99	107
615.301169	9.99	82.01
615.353739	9.99	214
616.310332	9.99	30.97
616.359438	9.99	214
623.273659	9.99	53
625.279813	9.99	134
636.807212	9.99	107
653.301582	9.99	80
655.789404	9.99	370
656.794671	9.99	134
711.344512	9.99	294
711.857082	9.99	80
719.363145	9.99	80
737.399714	9.99	107
352.689031	10.03	142
354.681745	10.03	50.91
354.705692	10.03	171
363.215172	10.03	284
374.672467	10.03	114
381.702441	10.03	284
382.191827	10.03	114
384.194661	10.03	114
389.524093	10.03	114
390.69001	10.03	317
392.20561	10.03	142
392.691981	10.03	84.65
392.728379	10.03	256
397.206881	10.03	142
405.193937	10.03	105.18
405.230909	10.03	114
407.734253	10.03	228
408.234157	10.03	142
410.220543	10.03	171
410.76047	10.03	142
411.706284	10.03	382
413.195175	10.03	171
416.707036	10.03	171
419.708902	10.03	199
420.212806	10.03	199
422.254615	10.03	114
425.203639	10.03	199
425.226946	10.03	60.18
434.700075	10.03	142
440.899952	10.03	368
445.748725	10.03	142
450.708125	10.03	114
453.872221	10.03	142
473.302835	10.03	256
476.240491	10.03	171
478.778171	10.03	228
481.245374	10.03	114
489.234318	10.03	228
490.244225	10.03	114
491.724341	10.03	525
500.241836	10.03	114
532.26676	10.03	432
532.768843	10.03	199
553.275803	10.03	142
560.30346	10.03	199
562.284239	10.03	85
562.79358	10.03	620
563.25669	10.03	20.87
563.296928	10.03	377
583.780725	10.03	171
585.24269	10.03	171
589.289827	10.03	85
591.78317	10.03	57
592.291231	10.03	85
599.277878	10.03	114
606.337866	10.03	142
606.838042	10.03	85
616.809078	10.03	57
618.318081	10.03	114
630.35333	10.03	114
651.315047	10.03	114
660.344261	10.03	256
660.842903	10.03	171
661.33774	10.03	114
667.306224	10.03	85
680.291624	10.03	114
680.33216	10.03	37.91
710.843416	10.03	313
754.325957	10.03	85
786.395592	10.03	142
804.357821	10.03	114
817.425267	10.03	199
388.200703	10.08	95
394.175468	10.08	13.8
394.20352	10.08	253
433.19611	10.08	84.94
433.228458	10.08	126
433.697317	10.08	95
440.716446	10.08	63
441.235239	10.08	221
446.256087	10.08	126
462.226765	10.08	190
470.724422	10.08	221
482.215186	10.08	497.56
482.246212	10.08	744
482.916567	10.08	158
492.257044	10.08	285
493.252087	10.08	126
502.317663	10.08	379
507.257506	10.08	221
514.261639	10.08	57.51
514.300087	10.08	158
515.294584	10.08	95
517.316151	10.08	1199
533.107185	10.08	95
533.261887	10.08	190
536.790332	10.08	190
543.261167	10.08	65.13
543.284219	10.08	66.24
543.32703	10.08	285
555.095132	10.08	126
565.822423	10.08	190
566.248785	10.08	95
575.27844	10.08	285
575.776147	10.08	126
576.283849	10.08	95
581.30233	10.08	95
586.329304	10.08	285
587.336339	10.08	158
588.27833	10.08	158
614.318637	10.08	126
617.320423	10.08	190
637.29219	10.08	126
671.321317	10.08	158
674.350241	10.08	95
684.357504	10.08	95
722.859333	10.08	316
723.370376	10.08	190
779.365737	10.08	190
816.416559	10.08	353
352.186691	10.12	245
352.685339	10.12	160
355.203458	10.12	160
358.208076	10.12	216
361.689083	10.12	294
362.184622	10.12	354
369.165855	10.12	44.29
369.212005	10.12	329
374.199499	10.12	134
375.186782	10.12	161.53
375.216886	10.12	214
376.693454	10.12	160
377.663792	10.12	294
377.715962	10.12	43.2
379.181936	10.12	107
379.726868	10.12	513
380.177507	10.12	18.69
380.227095	10.12	187
380.53673	10.12	374
386.213262	10.12	409
388.693472	10.12	80
391.182566	10.12	149.99
391.28317	10.12	329
393.230731	10.12	187
396.731144	10.12	134
398.181745	10.12	294
400.226582	10.12	134
403.225447	10.12	160
408.712787	10.12	1984
408.887113	10.12	370
409.216248	10.12	968
409.718827	10.12	350
412.202109	10.12	267
412.690931	10.12	383
414.199151	10.12	107
418.219308	10.12	410
420.695929	10.12	86.57
420.724908	10.12	134
424.20967	10.12	107
425.547486	10.12	214
425.878672	10.12	241
426.214041	10.12	134
427.720451	10.12	271
430.708988	10.12	160
431.724742	10.12	187
436.189564	10.12	107
442.21206	10.12	107
445.592979	10.12	214
456.313587	10.12	214
461.309878	10.12	160
463.238428	10.12	325
463.743881	10.12	267
464.239947	10.12	187
464.738559	10.12	488
465.232063	10.12	267
466.207746	10.12	80
466.723441	10.12	107
467.233992	10.12	107
468.208714	10.12	42.48
468.260687	10.12	80
477.733132	10.12	187
480.737648	10.12	107
481.712707	10.12	434
481.911452	10.12	853
482.58201	10.12	454
482.71296	10.12	134
491.220345	10.12	467
499.300593	10.12	241
510.242135	10.12	160
516.310826	10.12	4114
521.909288	10.12	353
548.274842	10.12	187
548.327775	10.12	32.11
557.316813	10.12	107
564.297147	10.12	80
565.321781	10.12	241
566.326648	10.12	80
570.303396	10.12	241
570.806745	10.12	267
571.309808	10.12	107
573.292889	10.12	80
587.2778	10.12	160
587.329159	10.12	73.57
596.278273	10.12	432
597.279616	10.12	187
607.270428	10.12	107
607.610119	10.12	187
607.951406	10.12	187
608.284018	10.12	187
614.966635	10.12	241
616.305761	10.12	134
629.373156	10.12	160
637.820355	10.12	187
362.710855	10.17	159
402.286551	10.17	223
402.716696	10.17	96
406.537037	10.17	127
420.209382	10.17	159
423.220821	10.17	127
423.718728	10.17	159
449.23672	10.17	159
455.730755	10.17	588
456.708242	10.17	159
460.30878	10.17	521
471.224453	10.17	935
471.724134	10.17	561
472.228854	10.17	287
479.270421	10.17	96
483.220885	10.17	127
494.27602	10.17	159
494.298008	10.17	121.47
502.320975	10.17	191
511.257512	10.17	96
518.317116	10.17	255
530.303049	10.17	223
536.244328	10.17	96
542.2478	10.17	114.98
542.28728	10.17	137.63
542.326763	10.17	636
546.324779	10.17	159
551.773896	10.17	159
552.258994	10.17	127
559.263511	10.17	223
559.340362	10.17	109.22
574.281055	10.17	96
578.935793	10.17	223
613.825032	10.17	191
614.332636	10.17	64
625.27173	10.17	127
627.325965	10.17	223
644.790091	10.17	517
659.284544	10.17	64
667.388896	10.17	191
667.895644	10.17	127
670.819964	10.17	159
671.8156	10.17	64
722.366724	10.17	319
781.855627	10.17	255
782.349526	10.17	287
824.373493	10.17	96
356.220418	10.21	149
358.201773	10.21	149
360.521192	10.21	268
365.209487	10.21	239
373.180764	10.21	98.5
373.202599	10.21	149
373.703983	10.21	89
376.193817	10.21	358
380.703855	10.21	149
381.194706	10.21	149
381.211257	10.21	108.23
382.199454	10.21	119
382.229837	10.21	72.81
389.216894	10.21	119
394.205424	10.21	119
394.710363	10.21	119
394.727205	10.21	79.34
395.227115	10.21	875
395.70184	10.21	63.17
395.729946	10.21	455
399.734552	10.21	149
404.720892	10.21	119
406.206273	10.21	328
408.176153	10.21	239
409.178676	10.21	89
418.558197	10.21	268
418.886662	10.21	179
430.205174	10.21	456
434.22005	10.21	149
438.21254	10.21	40.92
438.239158	10.21	149
444.746624	10.21	149
444.77344	10.21	67.78
445.221034	10.21	102.74
445.262771	10.21	487
448.221756	10.21	179
451.211494	10.21	61
451.268518	10.21	398
454.263612	10.21	89
456.231572	10.21	363
460.253793	10.21	179
460.739164	10.21	149
472.722032	10.21	179
479.232489	10.21	149
485.247967	10.21	89
486.728273	10.21	293
486.936786	10.21	704
490.244367	10.21	119
495.261496	10.21	119
496.220949	10.21	119
